species,year,source,SumOftotal
YTRK,1983,COM,1033
YTRK,1984,COM,1517
YTRK,1985,COM,883
YTRK,1986,COM,624
YTRK,1987,COM,781
YTRK,1988,COM,302
YTRK,1989,COM,698
YTRK,1990,COM,346
YTRK,1991,COM,515
YTRK,1992,COM,537
YTRK,1993,COM,233
YTRK,1994,COM,441
YTRK,1995,COM,146
YTRK,1996,COM,575
YTRK,1997,COM,247
YTRK,1998,COM,341
YTRK,1999,COM,253
YTRK,2000,COM,33
YTRK,2001,COM,180
YTRK,2002,COM,91
YTRK,2003,COM,59
YTRK,2004,COM,96
YTRK,2005,COM,160
YTRK,2006,COM,186
YTRK,2008,COM,150
YTRK,2009,COM,6
YTRK,2010,COM,4
YTRK,2011,COM,29
YTRK,2012,COM,28
YTRK,2013,COM,12
YTRK,2014,COM,111
YTRK,2015,COM,56
YTRK,2016,COM,38
YTRK,2017,COM,27
YTRK,2019,COM,138
YTRK,2021,COM,7
